x_m,y_m,throttle,heading_rad
4.485780494317863076e-01,4.260221274222226739e+00,4.900517298491609552e-01,4.996914977755833043e-01
4.249342903696746720e-01,4.304145805197491015e+00,4.850387660753200936e-01,5.193579252172293437e-01
4.004086519760389762e-01,4.347666190374329886e+00,4.802327305884809827e-01,5.395835574617064978e-01
3.750374686990614048e-01,4.390697517638031400e+00,4.756355306602800814e-01,5.604772552845918021e-01
3.488378995178769704e-01,4.433196652546376626e+00,4.712864690254782718e-01,5.820168419337758969e-01
3.218185685588957901e-01,4.475137536966625973e+00,4.671633978895541328e-01,6.045986288423899069e-01
2.939610358283161751e-01,4.516534396176426824e+00,4.633222590016247699e-01,6.284295467926956924e-01
2.652231222757576723e-01,4.557428235189779464e+00,4.598106840443472176e-01,6.539848302539077451e-01
2.356699674272051404e-01,4.597705249632227265e+00,4.554020524404312487e-01,6.648882555725430521e-01
2.053086012582462372e-01,4.637338947391494770e+00,4.509984554128219636e-01,6.768468631294783933e-01
1.741450017839453190e-01,4.676302629592013815e+00,4.471894968405161208e-01,6.953918634826758982e-01
1.421833158994886548e-01,4.714569458070175578e+00,4.437495927074891489e-01,7.166020679934703708e-01
1.093443735336906142e-01,4.752202735453701976e+00,4.405880217372172281e-01,7.394315678495941846e-01
7.565695267008137881e-02,4.789129772674720620e+00,4.376460851054693180e-01,7.634718715273129952e-01
4.115498188015408176e-02,4.825273154062210246e+00,4.349078291897175985e-01,7.883788514807124059e-01
5.832233054967029227e-03,4.860594761370303551e+00,4.323330404456595666e-01,8.141107147584274450e-01
-3.032159319946482051e-02,4.895051259717511094e+00,4.299106431687868546e-01,8.405429043990046978e-01
-6.732078652631613702e-02,4.928591381098063273e+00,4.276300496439185417e-01,8.675952168637475204e-01
-1.051824923053817501e-01,4.961151717564922237e+00,4.254841447768947238e-01,8.952360467523678977e-01
-1.439235474384287505e-01,4.992650261383521304e+00,4.234631353315872482e-01,9.234110107691915204e-01
-1.835535211616011741e-01,5.022976556529529013e+00,4.215606945406418227e-01,9.520914532948405729e-01
-2.240607587665078837e-01,5.051976818585751872e+00,4.197712804609221582e-01,9.812551540286635898e-01
-2.656558345544818289e-01,5.079604080014031631e+00,4.180912993848446835e-01,1.010911492486538332e+00
-3.084553413051278059e-01,5.105654699364204241e+00,4.165149977233949530e-01,1.041029330100649908e+00
-3.520054314221346403e-01,5.129511399042534059e+00,4.150368497466998541e-01,1.071589434536309504e+00
-3.971241209929222693e-01,5.151096120590728411e+00,4.136544561638470507e-01,1.102563335494594288e+00
-4.435487681292880069e-01,5.169420982218767335e+00,4.123675016189622400e-01,1.133939964811784940e+00
-4.914768257798116657e-01,5.183404704394209972e+00,4.111720760995233870e-01,1.165761114977151625e+00
-5.201071647136762399e-01,5.217664561480950702e+00,4.100639493840685379e-01,1.197984544079521818e+00
-5.536282464475129617e-01,5.253628395798109807e+00,4.090411792122854995e-01,1.230595059123244628e+00
-5.963001967220985522e-01,5.279437659971129015e+00,4.081016228444100391e-01,1.263576287126232600e+00
-6.420138941091757534e-01,5.299674312256241748e+00,4.072455410252231456e-01,1.296897776273521430e+00
-6.892769955038179353e-01,5.315848303562320076e+00,4.064741425349329695e-01,1.330575374934128696e+00
-7.376412469442624742e-01,5.328776371859389016e+00,4.057835436233295789e-01,1.364595795058612282e+00
-7.863900018163979544e-01,5.338826032951704548e+00,4.051711324470116393e-01,1.398917348221247803e+00
-8.357139845141052792e-01,5.346389259182930509e+00,4.046355757595529457e-01,1.433513019530638921e+00
-8.853761495995322583e-01,5.351644893977898221e+00,4.041766147871312387e-01,1.468343987319934651e+00
-9.352241696358991607e-01,5.354735153823947158e+00,4.037945281098538897e-01,1.503374598801007433e+00
-9.851516765820002020e-01,5.355771397582155480e+00,4.034868460543400426e-01,1.538579925194744735e+00
-1.035076888781584881e+00,5.354840663944340662e+00,4.032536174976844023e-01,1.573910405516627087e+00
-1.084930844003043626e+00,5.352011523392278924e+00,4.030954689980087435e-01,1.609302314926251753e+00
-1.134651004235758931e+00,5.347338884107201373e+00,4.030139152061487651e-01,1.644659872928555089e+00
-1.184177888948538149e+00,5.340867783240764943e+00,4.030179082192005269e-01,1.679980467765428642e+00
-1.233453417665576479e+00,5.332636314815221823e+00,4.031136644006015901e-01,1.715179550398849173e+00
-1.282420207961428416e+00,5.322677862941173288e+00,4.032976809459888901e-01,1.749898316431547585e+00
-1.330981868838458038e+00,5.311032994200663104e+00,4.036036590050930406e-01,1.784197224691482120e+00
-1.379055642725477204e+00,5.297742530708510422e+00,4.040497908990393072e-01,1.817566041840947832e+00
-1.426671821365399273e+00,5.282813317146500154e+00,4.046783691872510857e-01,1.849517800970833292e+00
-1.473774738193616818e+00,5.266271609231262474e+00,4.040387117171433395e-01,1.889594777882072307e+00
-1.520309518501480772e+00,5.248144511698907166e+00,4.035183544836428715e-01,1.931068848219521961e+00
