x_m,y_m,w_tr_right_m,w_tr_left_m
-2.497114561097194319e+00,4.297331728711571763e+00,9.258356663127725872e-01,6.997484979946592132e-01
-2.524396282535713354e+00,4.238700629156598509e+00,9.202844706154791332e-01,6.872704067080100954e-01
-2.550098496316360208e+00,4.179558108973529862e+00,9.147752378047269151e-01,6.765255573610196027e-01
-2.574167135728679057e+00,4.119939167280505465e+00,9.092212583469376774e-01,6.675182504815009299e-01
-2.596548134062215407e+00,4.059878803195666741e+00,9.035463368390268535e-01,6.602098696862932492e-01
-2.617187424606512103e+00,3.999412015837154666e+00,8.976938670800959086e-01,6.545162743359029811e-01
-2.636030940651112875e+00,3.938573804323107552e+00,8.916348583768163305e-01,6.503063530071353515e-01
-2.653024615485562343e+00,3.877399167771669930e+00,8.853736011258357408e-01,6.474038788465216188e-01
-2.668114382399404239e+00,3.815923105300981888e+00,8.789439928915335765e-01,6.455891449761036460e-01
-2.681246174682183181e+00,3.754180616029180850e+00,8.724098693771188406e-01,6.446075128319944669e-01
-2.692365925623441569e+00,3.692206699074409570e+00,8.658565018297814664e-01,6.441757685329163596e-01
-2.701419568512726244e+00,3.630036353554809025e+00,8.593830745871636756e-01,6.439946302247658849e-01
-2.708353246258083491e+00,3.567704523969851937e+00,8.530949806354766185e-01,6.437597915475952171e-01
-2.713146478162540287e+00,3.505237458190910260e+00,8.470938941653710641e-01,6.431785415472955902e-01
-2.715848436702421598e+00,3.442643255102767252e+00,8.414703429681505975e-01,6.419835742174022641e-01
-2.716517015280425440e+00,3.379927741246136819e+00,8.362959381139180026e-01,6.399492817761802677e-01
-2.715210107299247611e+00,3.317096743161730199e+00,8.316159534098958028e-01,6.369052612192905860e-01
-2.711985606161583018e+00,3.254156087390259522e+00,8.274431542720762645e-01,6.327463179865946419e-01
-2.706901405270128791e+00,3.191111600472434695e+00,8.237541497464633267e-01,6.274373817363426697e-01
-2.700015398027580282e+00,3.127969108948969179e+00,8.204891189045883104e-01,6.210127197982868719e-01
-2.691385477836634621e+00,3.064734439360575102e+00,8.175569091659927734e-01,6.135671318295520260e-01
-2.681069538099985383e+00,3.001413418247961484e+00,8.148434978535283868e-01,6.052435742696927745e-01
-2.669125472220331030e+00,2.938011872151843562e+00,8.122252045654558827e-01,5.962166681740395102e-01
-2.655611173600366026e+00,2.874535627612930799e+00,8.095825880800197050e-01,5.866757648945898351e-01
-2.640584535642787500e+00,2.810990511171934436e+00,8.068131528004681696e-01,5.768103250167485596e-01
-2.624103451750291249e+00,2.747382349369568821e+00,8.038415369333020699e-01,5.667978980063312910e-01
